id,symbol,direction,entry_time,entry_price,exit_time,exit_price,sl_price,tp_price,size,pnl_pips,exit_reason,entry_signal_data,created_at,entry_model,signal_timeframe
183,EURCAD,long,2026-02-12 20:26:35.761161,1.61507000,2026-02-12 21:36:46.378592,1.61555000,1.61207000,1.61807000,0.3000,4.80,model_exit,,2026-02-12 21:36:46.42655,Hybrid_V4 + SMA20_50_BB_long,
184,EURCAD,long,2026-02-12 23:00:59.493544,1.61545000,2026-02-13 00:36:26.499843,1.61563000,1.61245000,1.61845000,0.4900,1.80,model_exit,,2026-02-13 00:36:26.533126,Hybrid_V4 + SMA20_50_BB_long,
185,USDCAD,short,2026-02-13 04:30:25.037148,1.36152000,2026-02-13 05:10:36.494264,1.36201000,1.36452000,1.35852000,0.2800,-4.90,model_exit,,2026-02-13 05:10:36.521215,Hybrid_V4 + MACD_Stoch_short,
186,GBPUSD,long,2026-02-13 04:30:24.721192,1.36153000,2026-02-13 08:37:50.782537,1.36183000,1.35853000,1.36453000,0.6100,3.00,model_exit,,2026-02-13 08:37:50.813484,Hybrid_V4 + MACD_Stoch_long,
188,EURCAD,long,2026-02-13 09:00:56.087494,1.61387000,2026-02-13 11:35:32.803025,1.61473000,1.61087000,1.61687000,0.3600,8.60,model_exit,,2026-02-13 11:35:32.839138,Hybrid_V4 + SMA20_50_BB_long,
189,EURUSD,long,2026-02-13 09:00:55.630446,1.18633000,2026-02-13 12:19:48.807816,1.18583000,1.18333000,1.18933000,0.5400,-5.00,model_exit,,2026-02-13 12:19:48.875904,Hybrid_V4 + Stoch_K_oversold_long_25,
190,USDCAD,long,2026-02-13 10:00:16.86599,1.36042000,2026-02-13 12:19:49.039778,1.36225000,1.35742000,1.36342000,0.4600,18.30,model_exit,,2026-02-13 12:19:49.065935,Hybrid_V4 + MACD_Stoch_long,
191,EURCAD,long,2026-02-13 12:05:02.936081,1.61561000,2026-02-13 13:06:00.714418,1.61634000,1.61261000,1.61861000,0.4700,7.30,model_exit,,2026-02-13 13:06:00.761655,Hybrid_V4 + SMA20_50_BB_long,
192,EURCAD,long,2026-02-13 14:00:17.036863,1.61518000,2026-02-13 14:35:26.887113,1.61535000,1.61218000,1.61818000,0.5300,1.70,model_exit,,2026-02-13 14:35:26.959337,Hybrid_V4 + MACD_cross_long,
193,EURCAD,long,2026-02-13 14:01:17.38408,1.61516000,2026-02-13 15:35:43.379459,1.61570000,1.61216000,1.61816000,0.2200,5.40,model_exit,,2026-02-13 15:35:43.414578,Hybrid_V4 + SMA20_50_BB_long,
194,USDCAD,long,2026-02-13 14:00:16.708495,1.36010000,2026-02-13 15:49:46.777527,1.36310000,1.35710000,1.36310000,0.6200,30.00,tp_hit,,2026-02-13 15:49:46.782061,Hybrid_V4 + SMA20_50_BB_long,
195,EURCAD,long,2026-02-13 16:02:10.350181,1.61559000,2026-02-13 17:05:40.886177,1.61637000,1.61259000,1.61859000,0.4900,7.80,model_exit,,2026-02-13 17:05:40.928976,Hybrid_V4 + SMA20_50_BB_long,
196,USDCAD,long,2026-02-13 16:02:10.196111,1.36333000,2026-02-13 17:15:44.104727,1.36033000,1.36033000,1.36633000,0.5600,-30.00,sl_hit,,2026-02-13 17:15:44.1102,Hybrid_V4 + SMA20_50_BB_long,
197,USDCAD,short,2026-02-13 17:00:39.011042,1.36198000,2026-02-13 17:35:51.084014,1.36061000,1.36498000,1.35898000,0.1900,13.70,model_exit,,2026-02-13 17:35:51.128522,Hybrid_V4 + MACD_Stoch_short,
198,EURCAD,long,2026-02-13 19:30:30.288826,1.61591000,2026-02-13 20:05:42.301681,1.61626000,1.61291000,1.61891000,0.2300,3.50,model_exit,,2026-02-13 20:05:42.353667,Hybrid_V4 + MACD_Stoch_long,
199,EURCAD,long,2026-02-13 18:00:58.761025,1.61548000,2026-02-13 20:35:53.358563,1.61664000,1.61248000,1.61848000,0.5500,11.60,model_exit,,2026-02-13 20:35:53.397044,Hybrid_V4 + SMA20_50_BB_long,
200,EURCAD,long,2026-02-13 21:30:12.573554,1.61707000,2026-02-13 22:05:25.221544,1.61616000,1.61407000,1.62007000,0.2000,-9.10,model_exit,,2026-02-13 22:05:25.27797,Hybrid_V4 + MACD_cross_long,
201,USDCAD,long,2026-02-13 20:00:40.10431,1.36214000,2026-02-13 22:35:35.167418,1.36177000,1.35914000,1.36514000,0.4300,-3.70,model_exit,,2026-02-13 22:35:35.206047,Hybrid_V4 + SMA20_50_BB_long,
205,EURCAD,long,2026-02-16 00:00:14.727339,1.61598000,2026-02-16 02:05:49.336022,1.61544000,1.61298000,1.61898000,0.2200,-5.40,model_exit,,2026-02-16 02:05:49.376746,Hybrid_V4 + SMA20_50_BB_long,
206,GBPUSD,short,2026-02-16 00:00:14.595475,1.36460000,2026-02-16 04:05:20.931432,1.36422000,1.36760000,1.36160000,0.2700,3.80,model_exit,,2026-02-16 04:05:20.971399,Hybrid_V4 + SMA20_50_BB_short,
207,USDCAD,long,2026-02-16 08:00:49.322269,1.36078000,2026-02-16 10:05:58.074081,1.36198000,1.35778000,1.36378000,1.0000,12.00,model_exit,,2026-02-16 10:05:58.373664,Hybrid_V4 + SMA20_50_BB_long,
208,EURCAD,long,2026-02-16 08:00:49.648234,1.61424000,2026-02-16 10:05:58.526775,1.61563000,1.61124000,1.61724000,1.0000,13.90,model_exit,,2026-02-16 10:05:58.666902,Hybrid_V4 + SMA20_50_BB_long,
209,USDCAD,short,2026-02-16 11:00:18.017238,1.36161000,2026-02-16 11:35:31.615196,1.36243000,1.36461000,1.35861000,0.3900,-8.20,model_exit,,2026-02-16 11:35:31.867795,Hybrid_V4 + MACD_Stoch_short,
210,EURCAD,long,2026-02-16 11:00:18.472297,1.61577000,2026-02-16 12:05:10.544469,1.61561000,1.61277000,1.61877000,0.3500,-1.60,model_exit,,2026-02-16 12:05:10.687824,Hybrid_V4 + SMA20_50_BB_long,
211,EURCAD,long,2026-02-16 13:00:45.564699,1.61542000,2026-02-16 14:52:40.716127,1.61569000,1.61242000,1.61842000,0.3200,2.70,model_exit,,2026-02-16 14:52:40.990816,Hybrid_V4 + SMA20_50_BB_long,
212,USDCAD,long,2026-02-16 12:00:08.24044,1.36235000,2026-02-16 15:35:36.645321,1.36334000,1.35935000,1.36535000,0.3200,9.90,model_exit,,2026-02-16 15:35:36.783823,Hybrid_V4 + SMA20_50_BB_long,
213,GBPUSD,short,2026-02-16 12:00:07.923388,1.36443000,2026-02-16 16:05:48.700644,1.36301000,1.36743000,1.36143000,0.3500,14.20,model_exit,,2026-02-16 16:05:48.862522,Hybrid_V4 + SMA20_50_BB_short,
214,EURCAD,long,2026-02-16 16:00:45.082254,1.61551000,2026-02-16 17:35:57.923114,1.61569000,1.61251000,1.61851000,0.3500,1.80,model_exit,,2026-02-16 17:35:58.219392,Hybrid_V4 + SMA20_50_BB_long,
215,USDCAD,long,2026-02-16 16:05:48.938766,1.36304000,2026-02-16 18:18:49.702162,1.36344000,1.36004000,1.36604000,0.3500,4.00,orphan_close,,2026-02-16 18:18:49.729239,Hybrid_V4 + SMA20_50_BB_long,
216,EURUSD,long,2026-02-16 18:00:29.573984,1.18494000,2026-02-16 18:19:25.702441,1.18487000,1.18194000,1.18794000,0.3500,-0.70,orphan_close,,2026-02-16 18:19:25.708379,Hybrid_V4 + Stoch_K_oversold_long_25,
217,GBPUSD,short,2026-02-16 18:00:29.850045,1.36279000,2026-02-16 18:20:01.702181,1.36319000,1.36579000,1.35979000,0.3200,-4.00,orphan_close,,2026-02-16 18:20:01.710658,Hybrid_V4 + SMA20_50_BB_short,
218,USDCAD,long,2026-02-16 20:00:44.388691,1.36349000,2026-02-16 22:05:31.625802,1.36374000,1.36049000,1.36649000,0.3900,2.50,model_exit,,2026-02-16 22:05:31.803899,Hybrid_V4 + SMA20_50_BB_long,
219,GBPUSD,short,2026-02-17 00:00:11.524602,1.36272000,2026-02-17 07:00:37.558594,1.35972000,1.36572000,1.35972000,0.3200,30.00,tp_hit,,2026-02-17 07:00:37.568275,Hybrid_V4 + SMA20_50_BB_short,
220,EURUSD,long,2026-02-16 21:00:06.170841,1.18536000,2026-02-17 07:53:50.266064,1.18309000,1.18236000,1.18836000,0.3500,-22.70,model_exit,,2026-02-17 07:53:50.550964,Hybrid_V4 + Stoch_K_oversold_long_25,
221,USDCAD,short,2026-02-16 22:09:33.093345,1.36334000,2026-02-17 08:35:15.414507,1.36447000,1.36634000,1.36034000,0.3500,-11.30,model_exit,,2026-02-17 08:35:15.560238,Hybrid_V4 + MACD_Stoch_short,
222,USDCAD,long,2026-02-17 00:00:11.7133,1.36367000,2026-02-17 09:35:49.674883,1.36418000,1.36067000,1.36667000,0.1400,5.10,model_exit,,2026-02-17 09:35:49.873818,Hybrid_V4 + SMA20_50_BB_long,
223,EURCAD,long,2026-02-17 01:00:38.46318,1.61539000,2026-02-17 09:35:49.952751,1.61646000,1.61239000,1.61839000,0.2700,10.70,model_exit,,2026-02-17 09:35:50.060261,Hybrid_V4 + SMA20_50_BB_long,
224,EURCAD,long,2026-02-17 10:30:26.573655,1.61607000,2026-02-17 11:05:47.8904,1.61572000,1.61307000,1.61907000,0.1400,-3.50,model_exit,,2026-02-17 11:05:48.071905,Hybrid_V4 + MACD_cross_long,
225,EURUSD,long,2026-02-17 09:00:28.888806,1.18412000,2026-02-17 12:05:20.249226,1.18324000,1.18112000,1.18712000,0.1500,-8.80,model_exit,,2026-02-17 12:05:20.546236,Hybrid_V4 + Stoch_K_oversold_long_25,
226,USDCAD,long,2026-02-17 10:06:05.243167,1.36416000,2026-02-17 13:05:53.31056,1.36523000,1.36116000,1.36716000,0.1600,10.70,model_exit,,2026-02-17 13:05:53.456679,Hybrid_V4 + SMA20_50_BB_long,
227,USDCAD,long,2026-02-17 08:00:55.452199,1.36463000,2026-02-17 13:05:53.31056,1.36523000,1.36163000,1.36763000,0.0700,6.00,model_exit,,2026-02-17 13:05:53.543799,Hybrid_V4 + SMA20_50_MACD_long,
228,EURCAD,long,2026-02-17 13:00:49.842594,1.61444000,2026-02-17 13:35:09.903835,1.61562000,1.61144000,1.61744000,0.1500,11.80,model_exit,,2026-02-17 13:35:10.114756,Hybrid_V4 + MACD_Stoch_long,
229,EURCAD,long,2026-02-17 10:06:05.490343,1.61577000,2026-02-17 14:05:27.629307,1.61564000,1.61277000,1.61877000,0.3200,-1.30,model_exit,,2026-02-17 14:05:27.745762,Hybrid_V4 + SMA20_50_BB_long,
230,EURUSD,long,2026-02-17 08:30:11.408852,1.18380000,2026-02-17 15:29:21.757836,1.18080000,1.18080000,1.18680000,0.3000,-30.00,sl_hit,,2026-02-17 15:29:21.768295,Hybrid_V4 + Triple_Momentum_long,
231,USDCAD,short,2026-02-17 14:07:28.736155,1.36634000,2026-02-17 15:35:25.707933,1.36934000,1.36934000,1.36334000,0.1800,-30.00,sl_hit,,2026-02-17 15:35:25.722195,Hybrid_V4 + MACD_Stoch_short,
232,EURCAD,long,2026-02-17 15:01:01.098487,1.61678000,2026-02-17 16:05:45.493797,1.61613000,1.61378000,1.61978000,0.3100,-6.50,model_exit,,2026-02-17 16:05:45.611728,Hybrid_V4 + SMA20_50_BB_long,
233,EURCAD,long,2026-02-17 15:30:22.640536,1.61641000,2026-02-17 16:05:45.493797,1.61613000,1.61341000,1.61941000,0.1500,-2.80,model_exit,,2026-02-17 16:05:45.695558,Hybrid_V4 + MACD_cross_long,
234,USDCAD,long,2026-02-17 14:07:28.738237,1.36634000,2026-02-17 16:35:02.419951,1.36573000,1.36334000,1.36934000,0.0800,-6.10,model_exit,,2026-02-17 16:35:02.578318,Hybrid_V4 + SMA20_50_BB_long,
235,EURUSD,long,2026-02-17 15:00:59.945776,1.18224000,2026-02-17 17:00:30.682174,1.18298000,1.17924000,1.18524000,0.1600,7.40,manual_close,,2026-02-17 17:00:32.320315,Hybrid_V4 + Stoch_K_oversold_long_25,
236,EURUSD,short,2026-02-17 16:00:40.046591,1.18116000,2026-02-17 17:00:58.158093,1.18298000,1.18416000,1.17816000,0.1400,-18.20,manual_close,,2026-02-17 17:00:59.126648,Hybrid_V4 + SMA20_50_BB_short,
237,USDCHF,short,2026-02-17 15:30:22.81249,0.77324000,2026-02-17 17:38:32.826688,0.77119000,0.77624000,0.77024000,0.2900,20.50,model_exit,,2026-02-17 17:38:32.982247,Hybrid_V4 + RSI_BB_confluence_short,
238,USDCAD,short,2026-02-17 17:07:34.291143,1.36578000,2026-02-17 18:35:57.161939,1.36404000,1.36878000,1.36278000,0.1500,17.40,model_exit,,2026-02-17 18:35:57.296287,Hybrid_V4 + Stoch_RSI_short_25_25,
239,EURCAD,long,2026-02-17 17:00:30.777475,1.61520000,2026-02-17 18:35:57.402454,1.61601000,1.61220000,1.61820000,0.3300,8.10,model_exit,,2026-02-17 18:35:57.50567,Hybrid_V4 + SMA20_50_BB_long,
240,EURCAD,long,2026-02-17 19:00:06.98647,1.61588000,2026-02-17 19:35:21.260567,1.61557000,1.61288000,1.61888000,0.3500,-3.10,model_exit,,2026-02-17 19:35:21.364228,Hybrid_V4 + MACD_cross_long,
241,USDCAD,long,2026-02-17 19:00:06.796377,1.36388000,2026-02-18 00:05:26.637563,1.36403000,1.36088000,1.36688000,0.1800,1.50,model_exit,,2026-02-18 00:05:26.797626,Hybrid_V4 + MACD_Stoch_long,
242,USDCAD,long,2026-02-17 20:01:32.862904,1.36366000,2026-02-18 00:35:39.709356,1.36400000,1.36066000,1.36666000,0.0400,3.40,model_exit,,2026-02-18 00:35:39.946909,Hybrid_V4 + SMA20_50_BB_long,
243,USDCAD,long,2026-02-17 20:00:32.303529,1.36386000,2026-02-18 00:35:39.709356,1.36400000,1.36086000,1.36686000,0.0400,1.40,model_exit,,2026-02-18 00:35:40.02519,Hybrid_V4 + SMA20_50_MACD_long,
244,USDCAD,long,2026-02-17 18:00:42.265972,1.36488000,2026-02-18 00:35:39.709356,1.36400000,1.36188000,1.36788000,0.1600,-8.80,model_exit,,2026-02-18 00:35:40.101142,Hybrid_V4 + MACD_Stoch_long,
245,EURCAD,long,2026-02-17 23:00:57.679032,1.61653000,2026-02-18 01:35:00.63984,1.61639000,1.61353000,1.61953000,0.3400,-1.40,model_exit,,2026-02-18 01:35:00.778351,Hybrid_V4 + SMA20_50_BB_long,
246,EURCAD,long,2026-02-18 03:30:47.756321,1.61641000,2026-02-18 04:05:04.797129,1.61654000,1.61341000,1.61941000,0.1300,1.30,model_exit,,2026-02-18 04:05:04.963197,Hybrid_V4 + MACD_cross_long,
247,GBPUSD,long,2026-02-18 02:30:21.057803,1.35571000,2026-02-18 04:35:18.898399,1.35548000,1.35271000,1.35871000,0.3100,-2.30,model_exit,,2026-02-18 04:35:19.116502,Hybrid_V4 + MACD_Stoch_long,
248,USDCAD,long,2026-02-18 02:00:09.115347,1.36452000,2026-02-18 04:35:19.242106,1.36519000,1.36152000,1.36752000,0.3800,6.70,model_exit,,2026-02-18 04:35:19.353798,Hybrid_V4 + SMA20_50_BB_long,
249,GBPUSD,long,2026-02-18 05:05:31.251243,1.35548000,2026-02-18 06:05:59.689018,1.35579000,1.35248000,1.35848000,0.3300,3.10,model_exit,,2026-02-18 06:05:59.866661,Hybrid_V4 + MACD_Stoch_long,
250,EURCAD,long,2026-02-18 02:05:12.386617,1.61642000,2026-02-18 06:06:00.195435,1.61693000,1.61342000,1.61942000,0.3500,5.10,model_exit,,2026-02-18 06:06:00.342843,Hybrid_V4 + SMA20_50_BB_long,
251,USDCAD,long,2026-02-18 04:00:00.948336,1.36516000,2026-02-18 08:05:50.24778,1.36607000,1.36216000,1.36816000,0.0600,9.10,model_exit,,2026-02-18 08:05:50.453771,Hybrid_V4 + SMA20_50_MACD_long,
252,USDCAD,long,2026-02-18 06:00:57.413265,1.36521000,2026-02-18 08:05:50.24778,1.36607000,1.36221000,1.36821000,0.0700,8.60,model_exit,,2026-02-18 08:05:50.613314,Hybrid_V4 + SMA20_50_BB_long,
253,GBPUSD,long,2026-02-18 08:30:59.843518,1.35633000,2026-02-18 09:05:35.505518,1.35720000,1.35333000,1.35933000,0.3300,8.70,model_exit,,2026-02-18 09:05:35.613245,Hybrid_V4 + MACD_Stoch_long,
254,USDCAD,short,2026-02-18 02:30:21.388932,1.36475000,2026-02-18 10:07:12.859991,1.36518000,1.36775000,1.36175000,0.1400,-4.30,model_exit,,2026-02-18 10:07:13.007779,Hybrid_V4 + MACD_Stoch_short,
255,EURCAD,long,2026-02-18 09:30:44.300986,1.61654000,2026-02-18 11:35:49.66128,1.61551000,1.61354000,1.61954000,1.0000,-10.30,model_exit,,2026-02-18 11:35:49.871248,Hybrid_V4 + MACD_cross_long,
256,EURCAD,long,2026-02-18 07:00:23.562618,1.61674000,2026-02-18 13:35:28.448363,1.61626000,1.61374000,1.61974000,0.3600,-4.80,model_exit,,2026-02-18 13:35:28.644909,Hybrid_V4 + SMA20_50_BB_long,
257,USDCAD,long,2026-02-18 10:00:01.085852,1.36551000,2026-02-18 13:57:05.640732,1.36641000,1.36251000,1.36851000,0.1100,9.00,model_exit,,2026-02-18 13:57:05.760704,Hybrid_V4 + SMA20_50_BB_long,
258,USDCAD,long,2026-02-18 12:01:46.648745,1.36432000,2026-02-18 14:05:10.707736,1.36656000,1.36132000,1.36732000,0.2000,22.40,model_exit,,2026-02-18 14:05:10.820909,Hybrid_V4 + MACD_Stoch_long,
259,USDCAD,long,2026-02-18 12:00:46.174823,1.36414000,2026-02-18 14:21:17.561872,1.36714000,1.36114000,1.36714000,0.1800,30.00,tp_hit,,2026-02-18 14:21:17.568842,Hybrid_V4 + SMA20_50_MACD_long,
260,USDCAD,long,2026-02-18 13:00:12.009305,1.36478000,2026-02-18 14:25:18.968,1.36778000,1.36178000,1.36778000,0.2100,30.00,tp_hit,,2026-02-18 14:25:18.973334,Hybrid_V4 + MACD_Stoch_long,
261,USDCAD,short,2026-02-18 15:00:31.66484,1.36677000,2026-02-18 15:35:45.978227,1.36645000,1.36977000,1.36377000,0.2100,3.20,model_exit,,2026-02-18 15:35:46.081057,Hybrid_V4 + MACD_Stoch_short,
262,GBPUSD,long,2026-02-18 15:00:31.657752,1.35364000,2026-02-18 16:05:58.765926,1.35552000,1.35064000,1.35664000,0.2900,18.80,model_exit,,2026-02-18 16:05:58.86049,Hybrid_V4 + MACD_Stoch_long,
263,EURCAD,long,2026-02-18 14:00:08.936753,1.61592000,2026-02-18 16:05:59.015536,1.61543000,1.61292000,1.61892000,0.1900,-4.90,model_exit,,2026-02-18 16:05:59.125192,Hybrid_V4 + SMA20_50_BB_long,
264,GBPUSD,long,2026-02-18 16:00:56.196607,1.35441000,2026-02-18 16:35:11.584076,1.35495000,1.35141000,1.35741000,0.2700,5.40,model_exit,,2026-02-18 16:35:11.718564,Hybrid_V4 + MACD_Stoch_long,
265,USDCAD,long,2026-02-18 16:01:56.809876,1.36658000,2026-02-18 18:05:51.743798,1.36795000,1.36358000,1.36958000,0.2100,13.70,model_exit,,2026-02-18 18:05:51.859157,Hybrid_V4 + SMA20_50_BB_long,
266,EURCAD,long,2026-02-18 17:00:21.720917,1.61505000,2026-02-18 18:05:51.925026,1.61492000,1.61205000,1.61805000,0.1900,-1.30,model_exit,,2026-02-18 18:05:52.053719,Hybrid_V4 + SMA20_50_BB_long,
267,USDCAD,long,2026-02-18 16:00:56.200086,1.36658000,2026-02-18 18:45:08.510235,1.36958000,1.36358000,1.36958000,0.2300,30.00,tp_hit,,2026-02-18 18:45:08.518374,Hybrid_V4 + SMA20_50_MACD_long,
268,EURCAD,long,2026-02-18 19:00:14.524699,1.61398000,2026-02-18 21:05:13.541069,1.61441000,1.61098000,1.61698000,0.1900,4.30,model_exit,,2026-02-18 21:05:13.649789,Hybrid_V4 + SMA20_50_BB_long,
269,GBPUSD,long,2026-02-18 20:30:52.763223,1.34981000,2026-02-18 22:05:44.046212,1.34923000,1.34681000,1.35281000,0.4200,-5.80,model_exit,,2026-02-18 22:05:44.160121,Hybrid_V4 + Stoch_RSI_long_20_25,
270,GBPUSD,long,2026-02-18 20:31:53.405559,1.34990000,2026-02-18 22:05:44.046212,1.34923000,1.34690000,1.35290000,0.3000,-6.70,model_exit,,2026-02-18 22:05:44.25627,Hybrid_V4 + Stoch_RSI_long_15_25,
271,USDCAD,long,2026-02-18 20:00:38.747907,1.36969000,2026-02-19 00:05:01.138968,1.36972000,1.36669000,1.37269000,0.2200,0.30,model_exit,,2026-02-19 00:05:01.268929,Hybrid_V4 + SMA20_50_MACD_long,
272,USDCAD,long,2026-02-18 20:01:39.443642,1.36972000,2026-02-19 00:05:01.138968,1.36972000,1.36672000,1.37272000,0.2100,0.00,model_exit,,2026-02-19 00:05:01.399128,Hybrid_V4 + SMA20_50_BB_long,
